Upload a Fashion Image,Classification Result,timestamp
.gradio\flagged\Upload a Fashion Image\117f8d577cb0cbe5a9ac\10039.jpg,"{""label"": null, ""confidences"": null}",2025-05-09 15:00:56.758773
.gradio\flagged\Upload a Fashion Image\357857c15de6344d295e\2135.jpg,"{""label"": ""Shirts"", ""confidences"": [{""label"": ""Shirts"", ""confidence"": 0.9859398603439331}, {""label"": ""Tops"", ""confidence"": 0.005930237006396055}, {""label"": ""Kurtas"", ""confidence"": 0.0045705256052315235}, {""label"": ""Tshirts"", ""confidence"": 0.0033973860554397106}, {""label"": ""Handbags"", ""confidence"": 7.783798355376348e-05}, {""label"": ""Flip Flops"", ""confidence"": 2.0894003682769835e-05}, {""label"": ""Backpacks"", ""confidence"": 1.5964425983838737e-05}, {""label"": ""Perfume and Body Mist"", ""confidence"": 1.565961974847596e-05}, {""label"": ""Socks"", ""confidence"": 1.3212514204496983e-05}, {""label"": ""Sports Shoes"", ""confidence"": 5.573962880589534e-06}, {""label"": ""Casual Shoes"", ""confidence"": 5.299219992593862e-06}, {""label"": ""Heels"", ""confidence"": 3.3433461794629693e-06}, {""label"": ""Jeans"", ""confidence"": 1.1719024541889667e-06}, {""label"": ""Sandals"", ""confidence"": 8.910357678360015e-07}, {""label"": ""Briefs"", ""confidence"": 8.876000379132165e-07}, {""label"": ""Belts"", ""confidence"": 4.255921624007897e-07}, {""label"": ""Watches"", ""confidence"": 3.9136259033512033e-07}, {""label"": ""Formal Shoes"", ""confidence"": 2.0202260486712476e-07}, {""label"": ""Sunglasses"", ""confidence"": 1.1386249099132328e-07}, {""label"": ""Wallets"", ""confidence"": 9.194425132363904e-08}]}",2025-05-09 15:08:48.722374
